"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2018 AL12)","2113-2121","4","9.5e-8","19.10","24.9","0.036","-7.04","-7.10","0","bK18A12L"
"(2014 HD198)","2033-2112","17","9.4e-6","17.65","29.7","0.004","-7.04","-7.50","0","bK14HJ8D"
"(2016 WT)","2058-2121","70","3.3e-5","10.71","29.8","0.004","-7.04","-7.87","0","bK16W00T"
"(2019 WF24)","2061-2117","19","1.4e-6","17.26","27.8","0.009","-7.04","-7.29","0","bK19W24F"
"(2016 AU193)","2109-2109","1","1.1e-7","21.78","25.3","0.030","-7.04","-7.04","0","bK16AJ3U"
"(2021 HY9)","2101-2101","1","4.8e-6","10.27","28.1","0.008","-7.05","-7.05","0","bK21H09Y"
"(2017 VV12)","2062-2121","18","3.8e-6","6.29","28.0","0.009","-7.05","-7.25","0","bK17V12V"
"(2022 RJ2)","2075-2092","4","6.7e-7","16.02","26.9","0.014","-7.05","-7.41","0","bK22R02J"
"(2005 UA1)","2036-2048","2","8.4e-8","14.68","26.4","0.018","-7.06","-7.06","0","bK05U01A"
"(2012 XH)","2112-2121","2","8.1e-7","6.22","26.1","0.021","-7.06","-7.22","0","bK12X00H"
"(2020 VN6)","2061-2118","7","4.0e-6","9.21","27.8","0.009","-7.06","-7.26","0","bK20V06N"
"(2023 RY15)","2092-2112","21","4.2e-6","10.03","28.0","0.009","-7.06","-7.58","0","bK23R15Y"
"(2019 WU)","2080-2112","10","1.6e-6","10.06","27.0","0.013","-7.07","-7.58","0","bK19W00U"
"(2012 FB71)","2086-2095","2","3.4e-8","17.18","24.2","0.049","-7.07","-7.22","0","bK12F71B"
"(2021 RN)","2097-2115","10","6.4e-7","17.57","26.7","0.015","-7.07","-7.34","0","bK21R00N"
"(2020 SX6)","2095-2118","17","2.5e-6","4.03","27.1","0.013","-7.08","-7.50","0","bK20S06X"
"(2006 XV4)","2101-2120","3","1.4e-7","9.19","24.9","0.036","-7.08","-7.33","0","bK06X04V"
"(2018 WH1)","2084-2121","27","1.2e-5","4.01","28.5","0.007","-7.08","-7.70","0","bK18W01H"
"(2012 TP20)","2064-2120","17","4.8e-6","7.28","27.9","0.009","-7.08","-7.52","0","bK12T20P"
"(2016 TT)","2083-2096","5","3.7e-7","11.55","26.0","0.021","-7.08","-7.42","0","bK16T00T"
"(2012 UE)","2040-2058","8","2.0e-6","13.24","28.4","0.007","-7.08","-7.20","0","bK12U00E"
"(2018 WA1)","2085-2121","77","6.2e-5","3.03","30.0","0.003","-7.09","-7.89","0","bK18W01A"
"(2022 WM6)","2071-2082","2","9.1e-7","21.89","27.8","0.009","-7.09","-7.17","0","bK22W06M"
"(2010 DG77)","2059-2059","1","7.8e-10","14.47","21.3","0.190","-7.09","-7.09","0","bK10D77G"
"(2020 CE1)","2121-2121","1","2.7e-7","14.56","25.7","0.025","-7.10","-7.10","0","bK20C01E"
"(2018 RF5)","2103-2103","1","2.3e-6","8.33","27.4","0.011","-7.10","-7.10","0","bK18R05F"
"(2020 YG2)","2097-2109","2","1.1e-7","9.32","24.7","0.039","-7.10","-7.10","0","bK20Y02G"
"(2022 GE)","2092-2120","9","1.3e-6","12.20","27.1","0.013","-7.11","-7.26","0","bK22G00E"
"(2013 VD17)","2075-2117","4","1.6e-6","11.67","27.1","0.013","-7.11","-7.16","0","bK13V17D"
"(2021 RQ2)","2074-2119","20","2.9e-5","3.22","29.5","0.004","-7.11","-7.57","0","bK21R02Q"
"(2021 TV1)","2072-2104","4","3.1e-6","9.95","28.2","0.008","-7.11","-7.14","0","bK21T01V"
"(2014 KC45)","2066-2122","42","1.5e-5","8.91","29.4","0.004","-7.12","-7.60","0","bK14K45C"
"(2022 JV)","2092-2122","75","2.5e-5","9.46","29.6","0.004","-7.12","-7.81","0","bK22J00V"
"(2016 TQ54)","2082-2120","10","1.8e-6","9.00","27.3","0.012","-7.13","-7.51","0","bK16T54Q"
"(2019 VE4)","2072-2120","10","3.6e-6","8.78","27.9","0.009","-7.13","-7.44","0","bK19V04E"
"(2016 CE31)","2118-2120","9","3.1e-6","7.47","27.5","0.011","-7.13","-7.52","0","bK16C31E"
"(2010 VN1)","2046-2066","7","2.0e-6","10.99","28.3","0.007","-7.13","-7.37","0","bK10V01N"
"(2023 DA)","2116-2122","2","1.0e-6","5.90","26.4","0.017","-7.13","-7.14","0","bK23D00A"
"(2012 SU9)","2100-2119","4","1.5e-6","10.86","27.2","0.012","-7.14","-7.38","0","bK12S09U"
"(2008 UA92)","2078-2078","1","1.3e-6","8.38","27.3","0.012","-7.14","-7.14","0","bK08U92A"
"(2019 SG1)","2064-2064","1","8.2e-7","16.72","27.7","0.010","-7.14","-7.14","0","bK19S01G"
"(2009 SH2)","2119-2119","1","2.1e-7","4.21","24.9","0.035","-7.14","-7.14","0","bK09S02H"
"(2014 FE)","2054-2089","7","6.6e-7","19.95","27.6","0.010","-7.14","-7.52","0","bK14F00E"
"(2021 TX2)","2115-2118","2","1.8e-7","11.32","25.2","0.031","-7.14","-7.17","0","bK21T02X"
"(2019 WV1)","2078-2121","17","5.5e-6","8.74","28.2","0.008","-7.15","-7.47","0","bK19W01V"
"(2006 YE)","2089-2095","2","1.9e-6","6.03","27.3","0.012","-7.15","-7.31","0","bK06Y00E"
"(2022 WR27)","2100-2100","1","9.7e-6","9.78","28.9","0.006","-7.15","-7.15","0","bK22W27R"
"(2022 FZ3)","2047-2054","4","3.0e-6","8.26","28.8","0.006","-7.16","-7.26","0","bK22F03Z"
"(2011 SE58)","2042-2055","3","5.9e-7","15.69","27.6","0.010","-7.16","-7.30","0","bK11S58E"
"(2007 XB23)","2049-2120","15","1.3e-6","4.56","27.1","0.013","-7.17","-7.74","0","bK07X23B"
"(2022 YL)","2105-2121","5","8.6e-7","6.21","26.4","0.018","-7.17","-7.25","0","bK22Y00L"
"(2021 CD8)","2099-2122","15","1.1e-5","2.17","28.5","0.007","-7.17","-7.60","0","bK21C08D"
"(2023 ES)","2083-2120","3","5.3e-7","7.95","26.4","0.018","-7.17","-7.26","0","bK23E00S"
"(2019 FB1)","2110-2117","3","3.3e-6","7.97","27.7","0.010","-7.18","-7.36","0","bK19F01B"
"(2016 EG28)","2086-2122","6","1.8e-6","14.66","27.8","0.009","-7.18","-7.44","0","bK16E28G"
"(2020 XF4)","2108-2119","7","3.0e-6","6.69","27.6","0.010","-7.18","-7.40","0","bK20X04F"
"(2021 HC2)","2083-2122","21","1.2e-5","5.28","28.8","0.006","-7.18","-7.86","0","bK21H02C"
"(2023 EG1)","2068-2116","14","2.2e-6","6.91","27.4","0.011","-7.18","-7.62","0","bK23E01G"
"(2023 GE)","2122-2122","7","2.3e-6","10.82","27.5","0.011","-7.18","-7.45","0","bK23G00E"
"(2024 CY1)","2060-2124","22","8.3e-6","14.30","29.2","0.005","-7.18","-7.63","0","bK24C01Y"
"(2018 FK5)","2087-2110","2","3.8e-6","11.28","28.3","0.008","-7.19","-7.47","0","bK18F05K"
"(2018 DB)","2068-2119","8","1.5e-6","16.10","27.6","0.010","-7.19","-7.30","0","bK18D00B"
"(2019 GS19)","2069-2102","3","1.6e-7","13.90","25.6","0.025","-7.19","-7.34","0","bK19G19S"
"(2021 UL7)","2117-2121","2","5.4e-7","2.45","25.8","0.024","-7.19","-7.26","0","bK21U07L"
"(2023 SD3)","2055-2091","3","4.9e-7","4.15","26.8","0.015","-7.19","-7.19","0","bK23S03D"
"(2021 PA15)","2114-2114","1","5.2e-7","8.95","26.2","0.020","-7.20","-7.20","0","bK21P15A"
"(2011 AK37)","2097-2097","1","1.1e-7","11.87","25.1","0.032","-7.20","-7.20","0","bK11A37K"
"(2022 KC3)","2101-2118","6","1.1e-6","4.82","26.6","0.016","-7.20","-7.62","0","bK22K03C"
"(2021 UG2)","2075-2119","12","2.2e-6","13.04","27.9","0.009","-7.20","-7.74","0","bK21U02G"
"(2023 ST2)","2078-2078","1","1.3e-7","21.02","26.1","0.020","-7.20","-7.20","0","bK23S02T"
"(2015 YV1)","2084-2108","2","9.7e-9","17.65","23.4","0.072","-7.21","-7.46","0","bK15Y01V"
"(2001 UF5)","2058-2058","1","1.6e-9","18.26","22.4","0.110","-7.21","-7.21","0","bK01U05F"
"(2017 FC1)","2064-2064","1","2.3e-7","8.28","26.1","0.020","-7.21","-7.21","0","bK17F01C"
"(2018 RR1)","2086-2122","24","3.7e-5","4.41","29.9","0.004","-7.21","-7.30","0","bK18R01R"
"(2021 TH13)","2096-2116","5","4.4e-6","8.65","28.1","0.008","-7.21","-7.36","0","bK21T13H"
"(2018 FY2)","2093-2093","1","1.1e-7","19.77","25.7","0.024","-7.22","-7.22","0","bK18F02Y"
"(2002 XV90)","2102-2113","2","1.3e-7","7.63","24.9","0.035","-7.22","-7.23","0","bK02X90V"
"(2014 HJ197)","2045-2122","82","2.4e-5","4.50","30.3","0.003","-7.22","-7.73","0","bK14HJ7J"
"(2017 BK30)","2085-2085","3","9.8e-7","9.95","27.2","0.012","-7.22","-7.50","0","bK17B30K"
"(2016 WN7)","2095-2118","4","3.3e-6","6.16","27.9","0.009","-7.22","-7.27","0","bK16W07N"
"(2023 FY48)","2082-2114","4","1.2e-6","23.74","28.1","0.008","-7.22","-7.38","0","bK23F48Y"
"(2023 WT2)","2033-2117","27","1.2e-6","13.60","27.7","0.010","-7.22","-7.86","0","bK23W02T"
"(2023 HG7)","2116-2123","7","9.8e-7","12.02","27.0","0.014","-7.23","-7.43","0","bK23H07G"
"(2016 BQ15)","2072-2072","1","3.6e-8","21.02","25.1","0.032","-7.23","-7.23","0","bK16B15Q"
"(2016 WU)","2109-2109","1","1.8e-6","7.05","27.3","0.012","-7.23","-7.23","0","bK16W00U"
"(2017 TT3)","2108-2115","5","2.6e-7","8.66","25.6","0.025","-7.23","-7.51","0","bK17T03T"
"(2019 VC37)","2082-2121","38","2.7e-5","5.67","29.7","0.004","-7.24","-7.70","0","bK19V37C"
"(2019 AK12)","2113-2121","6","1.3e-6","15.16","27.5","0.011","-7.24","-7.64","0","bK19A12K"
"(2022 JM)","2092-2122","16","9.6e-6","4.64","28.8","0.006","-7.25","-7.89","0","bK22J00M"
"(2023 HF7)","2064-2064","1","2.8e-7","13.55","26.8","0.015","-7.25","-7.25","0","bK23H07F"
"(2019 BX1)","2067-2120","7","3.8e-6","3.89","28.1","0.008","-7.25","-7.60","0","bK19B01X"
"(2016 TC57)","2112-2112","1","1.2e-6","8.74","27.1","0.013","-7.25","-7.25","0","bK16T57C"
"(2015 VL64)","2081-2121","18","4.2e-6","8.69","28.3","0.007","-7.25","-7.97","0","bK15V64L"
"(2018 WA3)","2055-2055","1","6.3e-7","16.37","27.9","0.009","-7.25","-7.25","0","bK18W03A"
"(2022 JK2)","2062-2121","12","2.6e-6","7.76","28.0","0.009","-7.25","-7.40","0","bK22J02K"
"(2014 WE6)","2104-2121","9","5.3e-5","4.42","30.3","0.003","-7.26","-7.55","0","bK14W06E"
"(2016 LE10)","2035-2072","3","3.9e-7","12.63","27.1","0.013","-7.26","-7.53","0","bK16L10E"
"(2022 WC)","2060-2060","1","7.1e-8","28.18","26.4","0.018","-7.26","-7.26","0","bK22W00C"
"(2011 EM40)","2049-2122","57","1.9e-6","10.69","28.0","0.009","-7.26","-7.89","0","bK11E40M"
"(2018 LM)","2112-2120","4","2.1e-7","4.90","25.2","0.030","-7.26","-7.66","0","bK18L00M"
"(2023 CZ2)","2096-2121","31","1.5e-5","3.90","29.1","0.005","-7.26","-7.80","0","bK23C02Z"
"(2009 DV)","2044-2102","2","3.1e-8","22.10","24.9","0.036","-7.27","-7.38","0","bK09D00V"
"(2017 WY27)","2064-2122","31","2.6e-6","8.10","27.9","0.009","-7.27","-7.96","0","bK17W27Y"
"(2021 LC4)","2112-2122","2","4.1e-7","15.25","26.4","0.018","-7.27","-7.27","0","bK21L04C"
"(2022 UV4)","2092-2121","29","1.0e-5","5.54","28.9","0.006","-7.27","-7.74","0","bK22U04V"
"(2019 CZ1)","2115-2115","1","2.3e-8","22.01","24.3","0.048","-7.27","-7.27","0","bK19C01Z"
"(2020 HV5)","2091-2091","1","1.9e-7","10.19","25.8","0.024","-7.27","-7.27","0","bK20H05V"
"(2021 VW6)","2084-2121","19","4.6e-6","17.07","28.9","0.005","-7.27","-7.75","0","bK21V06W"
"(2014 HV2)","2095-2116","4","2.6e-7","13.14","26.0","0.021","-7.27","-7.63","0","bK14H02V"
"(2020 PX5)","2084-2118","12","1.8e-5","10.06","29.6","0.004","-7.27","-7.46","0","bK20P05X"
"(2021 CK3)","2056-2119","42","1.4e-5","13.64","29.9","0.004","-7.27","-8.00","0","bK21C03K"
"(2021 UT)","2053-2119","12","4.8e-6","11.00","29.3","0.005","-7.27","-7.37","0","bK21U00T"
"(2022 AT1)","2122-2122","4","3.8e-7","12.39","26.2","0.020","-7.27","-7.33","0","bK22A01T"
"(2023 XP13)","2091-2095","2","8.7e-8","18.06","25.5","0.027","-7.28","-7.29","0","bK23X13P"
"(2021 RS5)","2065-2121","27","4.8e-6","7.67","28.3","0.007","-7.28","-7.77","0","bK21R05S"
"(2015 VN64)","2086-2088","5","8.6e-7","15.86","27.5","0.010","-7.28","-7.54","0","bK15V64N"
"(2008 BN16)","2083-2122","5","1.3e-7","18.56","25.9","0.022","-7.28","-7.43","0","bK08B16N"
"(2013 GW38)","2070-2121","11","3.0e-6","10.27","28.4","0.007","-7.28","-7.43","0","bK13G38W"
"(2023 RX4)","2077-2105","3","9.9e-7","10.90","27.4","0.011","-7.28","-7.37","0","bK23R04X"
"(2017 JG3)","2084-2084","1","1.6e-7","8.71","25.6","0.025","-7.29","-7.29","0","bK17J03G"
"(2011 EC)","2051-2051","1","7.9e-8","6.83","25.6","0.026","-7.29","-7.29","0","bK11E00C"
"(2021 WC1)","2063-2079","8","2.6e-6","11.52","28.5","0.007","-7.29","-7.72","0","bK21W01C"
"(2022 WS27)","2041-2113","9","3.3e-5","10.02","30.3","0.003","-7.29","-7.54","0","bK22W27S"
"(2006 DO62)","2053-2088","10","1.7e-6","10.84","28.3","0.007","-7.30","-7.60","0","bK06D62O"
"(2011 AZ22)","2034-2095","4","9.2e-7","12.50","28.6","0.006","-7.30","-7.36","0","bK11A22Z"
"(2015 VO142)","2078-2122","22","9.6e-6","2.82","29.0","0.005","-7.30","-7.74","0","bK15VE2O"
"(2021 GC8)","2037-2119","34","2.4e-5","6.56","30.6","0.003","-7.30","-7.82","0","bK21G08C"
"(2023 HM)","2049-2122","33","5.9e-7","19.34","27.8","0.009","-7.30","-7.67","0","bK23H00M"
"(2019 UB8)","2053-2118","27","4.9e-6","10.34","28.9","0.005","-7.31","-7.79","0","bK19U08B"
"(2006 AU3)","2078-2109","4","4.5e-7","7.37","26.3","0.019","-7.31","-7.37","0","bK06A03U"
"(2022 OC4)","2078-2122","19","1.4e-6","7.16","27.4","0.011","-7.31","-7.50","0","bK22O04C"
"(2023 HO)","2084-2084","1","4.1e-8","25.31","25.4","0.028","-7.31","-7.31","0","bK23H00O"
"(2019 KY3)","2101-2121","8","3.3e-7","16.67","26.6","0.016","-7.31","-7.51","0","bK19K03Y"
"(2023 UP2)","2077-2119","6","5.5e-7","8.92","26.7","0.016","-7.31","-7.65","0","bK23U02P"
"(2008 CB6)","2077-2122","5","1.1e-6","7.41","27.1","0.013","-7.32","-7.75","0","bK08C06B"
"(2017 AA21)","2042-2119","11","2.2e-7","6.91","26.1","0.020","-7.32","-7.79","0","bK17A21A"
"(2014 KS76)","2119-2119","1","7.7e-7","7.06","26.6","0.016","-7.32","-7.32","0","bK14K76S"
"(2021 GW1)","2082-2120","9","1.2e-6","11.33","27.5","0.011","-7.32","-7.79","0","bK21G01W"
"(2019 RQ2)","2104-2105","2","1.0e-7","14.76","25.4","0.028","-7.33","-7.36","0","bK19R02Q"
"(2016 TH)","2072-2118","32","1.1e-5","7.41","29.4","0.004","-7.33","-7.57","0","bK16T00H"
"(2017 MD1)","2072-2072","1","3.4e-8","13.59","24.9","0.036","-7.34","-7.34","0","bK17M01D"
"(2022 GW2)","2073-2120","9","2.7e-6","7.15","28.0","0.009","-7.34","-7.70","0","bK22G02W"
"(2003 DW10)","2046-2058","2","1.0e-7","7.83","26.1","0.020","-7.34","-7.49","0","bK03D10W"
"(2020 VK6)","2090-2090","1","1.4e-7","9.57","25.6","0.026","-7.34","-7.34","0","bK20V06K"
"(2005 GQ33)","2046-2110","5","3.8e-9","19.27","23.6","0.063","-7.35","-7.44","0","bK05G33Q"
"(2021 CD)","2115-2122","16","1.1e-6","9.62","27.2","0.012","-7.35","-7.98","0","bK21C00D"
"(2023 UY)","2081-2121","12","1.8e-5","7.74","29.9","0.004","-7.35","-7.49","0","bK23U00Y"
"(2022 YC)","2056-2121","52","1.1e-5","4.81","29.5","0.004","-7.36","-7.95","0","bK22Y00C"
"(2018 LF4)","2106-2106","1","3.6e-8","9.63","24.2","0.049","-7.36","-7.36","0","bK18L04F"
"(2001 SD286)","2080-2080","1","6.2e-8","12.56","25.2","0.030","-7.36","-7.36","0","bK01SS6D"
"(2013 CY)","2058-2120","19","3.6e-6","2.42","28.2","0.008","-7.37","-8.07","0","bK13C00Y"
"(2011 BG10)","2051-2051","1","9.7e-8","12.31","26.3","0.019","-7.37","-7.37","0","bK11B10G"
"(2018 WE)","2057-2113","8","1.4e-6","12.75","28.3","0.007","-7.37","-7.60","0","bK18W00E"
"(2020 VH5)","2101-2101","4","9.4e-6","7.41","29.2","0.005","-7.37","-7.40","0","bK20V05H"
"(2022 AB4)","2113-2122","12","6.9e-7","9.84","26.8","0.015","-7.37","-7.97","0","bK22A04B"
"(2021 UK2)","2088-2119","18","5.0e-7","12.07","26.8","0.015","-7.37","-8.00","0","bK21U02K"
"(2019 LA2)","2105-2115","3","3.7e-7","14.46","26.6","0.016","-7.38","-7.52","0","bK19L02A"
"(2021 GN2)","2084-2121","12","3.1e-6","8.09","28.3","0.007","-7.38","-7.70","0","bK21G02N"
"(2021 VY7)","2044-2121","16","3.7e-6","12.22","29.3","0.005","-7.38","-7.71","0","bK21V07Y"
"(2021 WE3)","2117-2117","1","9.1e-8","12.90","25.2","0.031","-7.38","-7.38","0","bK21W03E"
"(2021 OK1)","2101-2111","2","7.5e-7","12.79","27.2","0.012","-7.39","-7.40","0","bK21O01K"
"(2016 WR55)","2100-2115","11","2.5e-6","14.13","28.3","0.007","-7.39","-7.67","0","bK16W55R"
"(2018 RJ3)","2070-2070","1","1.1e-6","8.13","27.8","0.009","-7.39","-7.39","0","bK18R03J"
"(2022 DA3)","2077-2122","6","1.3e-6","10.17","27.8","0.009","-7.39","-7.66","0","bK22D03A"
"(2022 WT6)","2106-2115","2","1.3e-7","20.01","26.1","0.021","-7.40","-7.41","0","bK22W06T"
"(2014 SH224)","2119-2119","2","2.8e-7","10.84","26.1","0.020","-7.40","-7.42","0","bK14SM4H"
"(2019 NL4)","2074-2120","4","1.3e-7","13.96","26.1","0.021","-7.41","-7.55","0","bK19N04L"
"(2010 CK19)","2089-2119","8","2.4e-6","5.01","27.9","0.009","-7.41","-7.88","0","bK10C19K"
"(2020 AC1)","2096-2121","14","4.7e-6","6.25","28.4","0.007","-7.41","-8.04","0","bK20A01C"
"(2009 WJ6)","2049-2049","1","2.4e-7","18.16","27.6","0.010","-7.41","-7.41","0","bK09W06J"
"(2019 SX8)","2110-2121","9","7.6e-6","8.31","28.9","0.005","-7.41","-7.52","0","bK19S08X"
"(2008 CE22)","2113-2122","3","4.1e-7","8.47","26.4","0.018","-7.41","-7.51","0","bK08C22E"
"(2016 DK2)","2069-2118","3","2.0e-6","17.57","29.0","0.005","-7.41","-7.41","0","bK16D02K"
"(2013 XS21)","2079-2111","12","8.8e-6","7.50","29.4","0.004","-7.42","-7.68","0","bK13X21S"
"(2022 SO11)","2084-2095","6","4.1e-7","12.21","26.9","0.014","-7.42","-7.92","0","bK22S11O"
"(2008 CM74)","2069-2115","24","2.4e-6","4.07","28.1","0.008","-7.43","-8.07","0","bK08C74M"
"(2020 VV6)","2060-2122","11","1.5e-6","13.39","28.4","0.007","-7.43","-7.57","0","bK20V06V"
"(2004 RV164)","2111-2111","1","3.6e-8","7.95","24.2","0.049","-7.43","-7.43","0","bK04RG4V"
"(2017 UL5)","2089-2116","4","3.6e-7","8.12","26.4","0.018","-7.43","-7.58","0","bK17U05L"
"(2002 RC117)","2057-2057","1","1.9e-8","12.01","24.8","0.037","-7.44","-7.44","0","bK02RB7C"
"(2018 LV3)","2061-2061","1","1.6e-7","11.19","26.6","0.017","-7.44","-7.44","0","bK18L03V"
"(2001 YN2)","2067-2113","4","2.4e-8","18.70","24.9","0.035","-7.44","-7.71","0","bK01Y02N"
"(2021 VG1)","2077-2077","1","1.5e-7","12.03","26.2","0.019","-7.44","-7.44","0","bK21V01G"
"(2002 AN129)","2064-2111","2","1.1e-7","11.49","26.0","0.021","-7.45","-7.52","0","bK02AC9N"
"(2014 WU200)","2104-2120","8","7.5e-6","1.71","28.8","0.006","-7.47","-7.78","0","bK14WK0U"
"(2019 GK3)","2103-2121","5","1.4e-5","2.95","29.5","0.004","-7.47","-7.48","0","bK19G03K"
"(2019 QR)","2089-2089","1","2.5e-7","6.24","26.2","0.019","-7.48","-7.48","0","bK19Q00R"
"(2005 UC3)","2072-2121","8","6.6e-7","7.87","27.1","0.013","-7.48","-7.89","0","bK05U03C"
"(2021 ER4)","2119-2119","1","6.3e-7","12.81","27.1","0.013","-7.48","-7.48","0","bK21E04R"
"(2020 VA5)","2078-2090","2","4.5e-7","11.14","27.2","0.012","-7.48","-7.49","0","bK20V05A"
"(2021 LK6)","2077-2115","10","1.9e-6","12.58","28.4","0.007","-7.48","-7.89","0","bK21L06K"
"(2014 HB177)","2059-2100","7","2.1e-6","6.09","28.3","0.007","-7.48","-7.68","0","bK14HH7B"
"(2021 TS10)","2109-2122","5","1.5e-7","8.52","25.5","0.027","-7.48","-7.65","0","bK21T10S"
"(2007 EE126)","2092-2102","3","2.7e-8","31.78","25.6","0.026","-7.48","-7.57","0","bK07EC6E"
"(2024 ES5)","2112-2120","4","1.1e-7","9.98","25.4","0.028","-7.48","-7.57","0","bK24E05S"
"(2020 RB7)","2104-2117","7","4.6e-7","19.07","27.3","0.012","-7.49","-8.02","0","bK20R07B"
"(2010 JH80)","2082-2082","1","8.8e-9","26.90","24.5","0.042","-7.50","-7.50","0","bK10J80H"
"(2021 AL1)","2105-2111","3","6.6e-8","13.04","25.3","0.030","-7.50","-7.66","0","bK21A01L"
"(2021 TG14)","2078-2121","28","1.7e-6","11.25","28.2","0.008","-7.50","-7.94","0","bK21T14G"
"(2003 UX26)","2101-2101","1","2.3e-8","11.53","24.3","0.047","-7.51","-7.51","0","bK03U26X"
"(2020 OX5)","2063-2063","1","2.5e-7","8.89","26.9","0.014","-7.51","-7.51","0","bK20O05X"
"(2019 JY2)","2059-2122","40","9.8e-6","7.67","29.6","0.004","-7.51","-8.25","0","bK19J02Y"
"(2021 UP120)","2030-2075","9","2.1e-5","13.21","32.5","0.001","-7.52","-7.66","0","bK21UC0P"
"(2007 FP3)","2059-2122","27","2.1e-6","9.65","28.4","0.007","-7.52","-7.98","0","bK07F03P"
"(2021 XF1)","2073-2095","6","6.3e-6","7.69","29.5","0.004","-7.52","-7.75","0","bK21X01F"
"(2023 DX)","2102-2121","6","1.2e-7","12.73","25.9","0.023","-7.52","-7.58","0","bK23D00X"
"(2016 GF1)","2111-2111","1","2.3e-7","7.18","26.0","0.021","-7.53","-7.53","0","bK16G01F"
"(2016 FC1)","2082-2088","4","2.7e-6","15.19","29.1","0.005","-7.53","-7.67","0","bK16F01C"
"(2018 DU1)","2078-2118","4","1.5e-6","6.69","27.7","0.010","-7.53","-7.74","0","bK18D01U"
"(2018 VP1)","2024-2118","19","1.2e-6","9.53","30.9","0.002","-7.54","-8.00","0","bK18V01P"
"(2009 VT1)","2046-2121","24","4.3e-6","6.96","29.6","0.004","-7.54","-7.75","0","bK09V01T"
"(2020 DN3)","2107-2117","4","3.3e-7","13.89","26.8","0.015","-7.54","-7.86","0","bK20D03N"
"(2021 GE6)","2056-2117","15","3.3e-6","3.23","28.8","0.006","-7.54","-7.93","0","bK21G06E"
"(2019 SO6)","2069-2069","1","1.9e-8","27.97","25.6","0.025","-7.55","-7.55","0","bK19S06O"
"(2022 UY12)","2100-2108","3","1.6e-6","16.47","28.6","0.007","-7.55","-7.55","0","bK22U12Y"
"(2020 UA)","2074-2114","15","2.0e-6","6.53","28.4","0.007","-7.56","-8.16","0","bK20U00A"
"(2018 EE1)","2106-2106","1","2.5e-8","16.96","24.8","0.038","-7.56","-7.56","0","bK18E01E"
"(2016 GM2)","2121-2121","2","8.0e-8","8.89","25.1","0.032","-7.56","-7.77","0","bK16G02M"
"(2017 FL64)","2118-2118","1","4.8e-6","2.43","28.6","0.006","-7.57","-7.57","0","bK17F64L"
"(2021 HE41)","2070-2108","4","2.0e-6","9.32","28.7","0.006","-7.57","-7.67","0","bK21H41E"
"(2010 XU)","2054-2088","5","4.4e-8","6.21","25.3","0.029","-7.58","-7.72","0","bK10X00U"
"(2019 TD)","2042-2060","2","1.8e-6","9.79","29.2","0.005","-7.60","-7.78","0","bK19T00D"
"(2019 VB5)","2053-2121","187","6.6e-5","5.73","31.7","0.002","-7.60","-8.07","0","bK19V05B"
"(2015 HE1)","2098-2117","4","3.1e-7","14.60","27.0","0.013","-7.60","-7.80","0","bK15H01E"
"(2021 VN10)","2069-2106","6","9.6e-7","10.79","28.1","0.008","-7.60","-7.93","0","bK21V10N"
"(2021 XX4)","2105-2120","7","2.2e-6","13.31","28.6","0.007","-7.60","-8.02","0","bK21X04X"
"(2015 FC345)","2085-2123","7","1.3e-6","6.75","27.8","0.009","-7.61","-7.91","0","bK15FY5C"
"(2004 FM4)","2110-2119","3","2.3e-8","14.82","24.6","0.042","-7.61","-7.85","0","bK04F04M"
"(2018 FG1)","2104-2118","11","6.2e-7","9.97","27.3","0.012","-7.61","-8.10","0","bK18F01G"
"(2022 WE7)","2080-2122","12","7.8e-7","16.74","28.0","0.009","-7.61","-8.24","0","bK22W07E"
"(2021 GW6)","2057-2057","1","2.8e-7","22.65","28.2","0.008","-7.61","-7.61","0","bK21G06W"
"(2022 VD)","2110-2122","16","4.5e-6","8.22","28.9","0.006","-7.61","-8.05","0","bK22V00D"
"(2021 YB)","2099-2120","3","1.1e-6","5.55","27.5","0.011","-7.62","-7.68","0","bK21Y00B"
"(2020 DQ16)","2080-2119","9","1.0e-6","9.81","27.8","0.009","-7.62","-7.93","0","bK20D16Q"
"(2023 MB3)","2104-2104","3","1.2e-5","8.69","30.0","0.003","-7.63","-7.94","0","bK23M03B"
"(2023 ER1)","2115-2121","9","6.4e-7","15.57","27.6","0.010","-7.63","-8.16","0","bK23E01R"
"(2018 CA15)","2063-2116","4","1.3e-7","8.26","26.0","0.021","-7.63","-7.89","0","bK18C15A"
"(2023 RF1)","2118-2118","1","1.6e-7","6.54","25.8","0.023","-7.64","-7.64","0","bK23R01F"
"(2017 UL6)","2041-2120","37","6.9e-5","7.13","32.0","0.001","-7.65","-8.13","0","bK17U06L"
"(2016 EL1)","2044-2119","10","4.1e-7","19.92","27.8","0.009","-7.65","-8.22","0","bK16E01L"
"(2020 TD5)","2118-2118","2","2.9e-7","9.12","26.6","0.016","-7.65","-7.66","0","bK20T05D"
"(2023 HY)","2098-2122","5","1.1e-6","15.14","28.3","0.007","-7.65","-7.91","0","bK23H00Y"
"(2023 KT)","2072-2116","8","1.4e-6","8.46","28.3","0.007","-7.65","-7.89","0","bK23K00T"
